Case_Type,Cases,Difference,Date,Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count,People_Total_Tested_Count,People_Hospitalized_Cumulative_Count,Data_Source,Prep_Flow_Runtime
Confirmed,363,27,3/31/2020,Slovakia,Slovakia,N/A,,SK,SVK,,48.669,19.699,5459643,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,22,0,2/24/2020,Malaysia,Malaysia,N/A,,MY,MYS,,4.210484,101.975766,32365998,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/7/2020,"Reunion, France",France,Reunion,,RE,REU,,-21.1151,55.5364,895308,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,8,1,3/31/2020,Zimbabwe,Zimbabwe,N/A,,ZW,ZWE,,-19.015438,29.154857,14862927,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/30/2020,Paraguay,Paraguay,N/A,,PY,PRY,,-23.4425,-58.4438,7132530,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,2,0,4/18/2020,Belize,Belize,N/A,,BZ,BLZ,,17.1899,-88.4976,397621,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,4,0,3/31/2020,Bhutan,Bhutan,N/A,,BT,BTN,,27.5142,90.4336,771612,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/25/2020,Congo (Kinshasa),Congo (Kinshasa),N/A,,CD,COD,,-4.322447,15.307045,89561404,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,22,0,3/12/2020,"Henan, China",China,Henan,,CN,CHN,,33.882,113.614,96050000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,4,0,4/13/2020,"Manitoba, Canada",Canada,Manitoba,,CA,CAN,,53.7609,-98.8139,1377517,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/20/2020,Luxembourg,Luxembourg,N/A,,LU,LUX,,49.8153,6.1296,625976,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/27/2020,"Greenland, Denmark",Denmark,Greenland,,GL,GRL,,71.7069,-42.6043,56772,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/21/2020,Syria,Syria,N/A,,SY,SYR,,34.802075,38.996815,17500657,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/3/2020,"Martinique, France",France,Martinique,,MQ,MTQ,,14.6415,-61.0242,375265,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/8/2020,Romania,Romania,N/A,,RO,ROU,,45.9432,24.9668,19237682,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/30/2020,Trinidad and Tobago,Trinidad and Tobago,N/A,,TT,TTO,,10.6918,-61.2225,1399491,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/11/2020,"Bermuda, United Kingdom",United Kingdom,Bermuda,,BM,BMU,,32.3078,-64.7505,62273,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,463,97,3/9/2020,Italy,Italy,N/A,,IT,ITA,,41.87194,12.56738,60461828,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,2,0,4/7/2020,"Australian Capital Territory, Australia",Australia,Australian Capital Territory,,AU,AUS,,-35.4735,149.0124,428100,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/5/2020,Austria,Austria,N/A,,AT,AUT,,47.5162,14.5501,9006400,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/9/2020,"French Polynesia, France",France,French Polynesia,,PF,PYF,,-17.6797,149.4068,280904,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/10/2020,Dominican Republic,Dominican Republic,N/A,,DO,DOM,,18.7357,-70.1627,10847904,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/26/2020,Azerbaijan,Azerbaijan,N/A,,AZ,AZE,,40.1431,47.5769,10139175,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/7/2020,Croatia,Croatia,N/A,,HR,HRV,,45.1,15.2,4105268,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,4/9/2020,Georgia,Georgia,N/A,,GE,GEO,,42.3154,43.3569,3989175,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/28/2020,Bulgaria,Bulgaria,N/A,,BG,BGR,,42.7339,25.4858,6948445,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,76,5,4/6/2020,Norway,Norway,N/A,,NO,NOR,,60.472,8.4689,5421242,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/21/2020,Sierra Leone,Sierra Leone,N/A,,SL,SLE,,8.460555,-11.779889,7976985,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,98,0,4/2/2020,"Jilin, China",China,Jilin,,CN,CHN,,43.6661,126.1923,27040000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/1/2020,Grenada,Grenada,N/A,,GD,GRD,,12.1165,-61.679,112519,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/27/2020,Latvia,Latvia,N/A,,LV,LVA,,56.8796,24.6032,1886202,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,113,11,3/15/2020,India,India,N/A,,IN,IND,,20.593684,78.96288,1380004385,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/17/2020,Timor-Leste,Timor-Leste,N/A,,TL,TLS,,-8.874217,125.727539,1318442,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,2,1,3/27/2020,Cameroon,Cameroon,N/A,,CM,CMR,,3.848,11.5021,26545864,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/11/2020,Bosnia and Herzegovina,Bosnia and Herzegovina,N/A,,BA,BIH,,43.9159,17.6791,3280815,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/23/2020,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,N/A,,VC,VCT,,12.9843,-61.2872,110947,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/28/2020,Bahrain,Bahrain,N/A,,BH,BHR,,26.0275,50.55,1701583,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/25/2020,"Qinghai, China",China,Qinghai,,CN,CHN,,35.7452,95.9956,6030000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,23,0,4/4/2020,Guyana,Guyana,N/A,,GY,GUY,,4.860416,-58.93018,786559,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,5072,85,4/15/2020,Malaysia,Malaysia,N/A,,MY,MYS,,4.210484,101.975766,32365998,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/3/2020,Chad,Chad,N/A,,TD,TCD,,15.4542,18.7322,16425859,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,479,0,2/22/2020,"Heilongjiang, China",China,Heilongjiang,,CN,CHN,,47.862,127.7615,37730000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/25/2020,Saudi Arabia,Saudi Arabia,N/A,,SA,SAU,,23.885942,45.079162,34813867,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/1/2020,Cuba,Cuba,N/A,,CU,CUB,,21.521757,-77.781167,11326616,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/29/2020,Oman,Oman,N/A,,OM,OMN,,21.512583,55.923255,5106622,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,4/17/2020,"Zhejiang, China",China,Zhejiang,,CN,CHN,,29.1832,120.0934,57370000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/7/2020,New Zealand,New Zealand,N/A,,NZ,NZL,,-40.9006,174.886,4822233,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,4/2/2020,"Mayotte, France",France,Mayotte,,YT,MYT,,-12.8275,45.166244,272813,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/11/2020,Azerbaijan,Azerbaijan,N/A,,AZ,AZE,,40.1431,47.5769,10139175,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/5/2020,Russia,Russia,N/A,,RU,RUS,,61.52401,105.318756,145934460,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/23/2020,Oman,Oman,N/A,,OM,OMN,,21.512583,55.923255,5106622,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/15/2020,Iran,Iran,N/A,,IR,IRN,,32.427908,53.688046,83992953,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,26,0,4/19/2020,Albania,Albania,N/A,,AL,ALB,,41.1533,20.1683,2877800,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1,1,2/25/2020,Croatia,Croatia,N/A,,HR,HRV,,45.1,15.2,4105268,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/27/2020,Haiti,Haiti,N/A,,HT,HTI,,18.9712,-72.2852,11402533,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/28/2020,Sao Tome and Principe,Sao Tome and Principe,N/A,,ST,STP,,0.1864,6.6131,219161,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/30/2020,Nigeria,Nigeria,N/A,,NG,NGA,,9.082,8.6753,206139587,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1,0,3/25/2020,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,N/A,,VC,VCT,,12.9843,-61.2872,110947,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/4/2020,Mexico,Mexico,N/A,,MX,MEX,,23.6345,-102.5528,128932753,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,2/23/2020,"Liaoning, China",China,Liaoning,,CN,CHN,,41.2956,122.6085,43590000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/6/2020,"Greenland, Denmark",Denmark,Greenland,,GL,GRL,,71.7069,-42.6043,56772,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,7,0,4/11/2020,Uruguay,Uruguay,N/A,,UY,URY,,-32.5228,-55.7658,3473727,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/24/2020,Belgium,Belgium,N/A,,BE,BEL,,50.8333,4.469936,11589616,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/20/2020,Luxembourg,Luxembourg,N/A,,LU,LUX,,49.8153,6.1296,625976,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,172,1,2/18/2020,"Yunnan, China",China,Yunnan,,CN,CHN,,24.974,101.487,48300000,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/6/2020,Saint Kitts and Nevis,Saint Kitts and Nevis,N/A,,KN,KNA,,17.357822,-62.782998,53192,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,5,4,3/17/2020,Cote d'Ivoire,Cote d'Ivoire,N/A,,CI,CIV,,7.54,-5.5471,26378275,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/17/2020,Seychelles,Seychelles,N/A,,SC,SYC,,-4.6796,55.492,98340,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,9,1,4/17/2020,Slovakia,Slovakia,N/A,,SK,SVK,,48.669,19.699,5459643,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/9/2020,Kazakhstan,Kazakhstan,N/A,,KZ,KAZ,,48.0196,66.9237,18776707,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,7,0,3/21/2020,Norway,Norway,N/A,,NO,NOR,,60.472,8.4689,5421242,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,7,0,4/17/2020,Papua New Guinea,Papua New Guinea,N/A,,PG,PNG,,-6.314993,143.95555,8947027,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/31/2020,"Greenland, Denmark",Denmark,Greenland,,GL,GRL,,71.7069,-42.6043,56772,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,45,0,4/10/2020,"Macau, China",China,Macau,,MO,MAC,,22.1667,113.55,649342,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,7,0,4/17/2020,Mauritania,Mauritania,N/A,,MR,MRT,,21.0079,-10.9408,4649660,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,10,0,3/28/2020,Niger,Niger,N/A,,NE,NER,,17.607789,8.081666,24206636,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/9/2020,Congo (Kinshasa),Congo (Kinshasa),N/A,,CD,COD,,-4.322447,15.307045,89561404,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,12,2,4/8/2020,Eswatini,Eswatini,N/A,,SZ,SWZ,,-26.5225,31.4659,1160164,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/8/2020,Austria,Austria,N/A,,AT,AUT,,47.5162,14.5501,9006400,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/5/2020,Croatia,Croatia,N/A,,HR,HRV,,45.1,15.2,4105268,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/27/2020,Indonesia,Indonesia,N/A,,ID,IDN,,-0.7893,113.9213,273523621,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/9/2020,Burkina Faso,Burkina Faso,N/A,,BF,BFA,,12.2383,-1.5616,20903278,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/22/2020,Denmark,Denmark,N/A,,DK,DNK,,56.2639,9.5018,5792203,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/29/2020,Brazil,Brazil,N/A,,BR,BRA,,-14.235,-51.9253,212559409,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/9/2020,"Gibraltar, United Kingdom",United Kingdom,Gibraltar,,GI,GIB,,36.1408,-5.3536,33691,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,26,0,4/20/2020,"Prince Edward Island, Canada",Canada,Prince Edward Island,,CA,CAN,,46.5107,-63.4168,158158,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,424,0,3/22/2020,"British Columbia, Canada",Canada,British Columbia,,CA,CAN,,53.7267,-127.6476,5110917,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/2/2020,"Falkland Islands (Malvinas), United Kingdom",United Kingdom,Falkland Islands (Malvinas),,FK,FLK,,-51.7963,-59.5236,3483,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,8565,152,3/19/2020,"Korea, South","Korea, South",N/A,,KR,KOR,,35.907757,127.766922,51269183,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,3,0,3/23/2020,Dominican Republic,Dominican Republic,N/A,,DO,DOM,,18.7357,-70.1627,10847904,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/1/2020,Mauritania,Mauritania,N/A,,MR,MRT,,21.0079,-10.9408,4649660,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,1/25/2020,Colombia,Colombia,N/A,,CO,COL,,4.5709,-74.2973,50882884,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,4/1/2020,New Zealand,New Zealand,N/A,,NZ,NZL,,-40.9006,174.886,4822233,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,428,19,4/20/2020,Philippines,Philippines,N/A,,PH,PHL,,12.879721,121.774017,109581085,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,2/20/2020,"Ontario, Canada",Canada,Ontario,,CA,CAN,,51.2538,-85.3232,14711827,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/18/2020,Saudi Arabia,Saudi Arabia,N/A,,SA,SAU,,23.885942,45.079162,34813867,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1,0,3/17/2020,Panama,Panama,N/A,,PA,PAN,,8.538,-80.7821,4314768,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,1,0,3/16/2020,Togo,Togo,N/A,,TG,TGO,,8.6195,0.8248,8278737,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,3/14/2020,Botswana,Botswana,N/A,,BW,BWA,,-22.3285,24.6849,2351625,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/26/2020,Ethiopia,Ethiopia,N/A,,ET,ETH,,9.145,40.4897,114963583,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,1/31/2020,Singapore,Singapore,N/A,,SG,SGP,,1.2833,103.8333,5850343,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,10,0,2/15/2020,"Macau, China",China,Macau,,MO,MAC,,22.1667,113.55,649342,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,1106,70,4/12/2020,Switzerland,Switzerland,N/A,,CH,CHE,,46.8182,8.2275,8654618,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,7370,622,4/13/2020,Japan,Japan,N/A,,JP,JPN,,36.204824,138.252924,126476458,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,3/20/2020,Bolivia,Bolivia,N/A,,BO,BOL,,-16.2902,-63.5887,11673029,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/27/2020,Cameroon,Cameroon,N/A,,CM,CMR,,3.848,11.5021,26545864,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/24/2020,Venezuela,Venezuela,N/A,,VE,VEN,,6.4238,-66.5897,28435943,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,37,9,3/21/2020,Liechtenstein,Liechtenstein,N/A,,LI,LIE,,47.14,9.55,38137,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,37,4,4/1/2020,"Ontario, Canada",Canada,Ontario,,CA,CAN,,51.2538,-85.3232,14711827,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,9976,89,4/2/2020,"Korea, South","Korea, South",N/A,,KR,KOR,,35.907757,127.766922,51269183,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,155,0,4/11/2020,"Martinique, France",France,Martinique,,MQ,MTQ,,14.6415,-61.0242,375265,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,0,0,2/17/2020,Nicaragua,Nicaragua,N/A,,NI,NIC,,12.865416,-85.207229,6624554,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Deaths,0,0,4/5/2020,Cambodia,Cambodia,N/A,,KH,KHM,,11.55,104.9167,16718971,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
Confirmed,75,15,3/26/2020,Uzbekistan,Uzbekistan,N/A,,UZ,UZB,,41.377491,64.585262,33469199,,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,4/20/2020 8:12:12 PM
